mobile13	Have a good evening.
mobile963	What is wrong?
mobile976	Weather is bad here.
mobile1016	We can work around these plans if you prefer.
mobile1021	Maybe you can leave early.
mobile1063	Thank you for your prompt reply.
mobile1071	I know several who work there.
mobile1093	Is that enough for this week?
mobile1106	Thanks for all you are doing
mobile1122	Jan, sorry for the inconvenience.
mobile1165	We have lots of forks, etc. (went to Sam's).
mobile1174	Michael was great this AM.
mobile1184	I need your home cell or whatever.
mobile1201	FYI on the demand letter I signed earlier.
mobile1252	Barry, hope that you had a great Christmas.
mobile1258	The rest is a byproduct of slapshot.
mobile1270	1 - number of questions on this.
mobile1271	How soon do you need it?
mobile1302	I'll find someone to do it.
mobile1305	Geez, I sound pathetic.
mobile1330	How is it going?
mobile1358	We are having fun.
mobile1360	I have rates and capacity utilization information ready.
mobile1384	Sorry to keep you in suspense!
mobile1393	We sold the UK business to AEP.
mobile1397	Are we ready for this on Monday?
mobile1415	Isn't that about the way it could happen?
mobile1441	We haven't made that decision here though.
mobile1462	I just had my head in the clouds.
mobile1470	Wonder what next week will bring.
mobile1483	So you're ignoring me.
mobile1500	I am really not wanting to come back.
mobile1504	I spoke with Lara Robinson this morning.
mobile1523	Has it been mentioned yet?
mobile1557	Please stay on top of the security issue.
mobile1590	I will not be available.
mobile1603	Travis is in charge.
mobile1617	FYI I saw Ken Caminiti at Animal Kingdom yesterday!
mobile1624	I would suggest you and Mark address this together.
mobile1627	I am in a due diligence meeting until 6:00.
mobile1638	Are you in a good mood?
mobile1640	Can you help get this cleared up?
mobile1643	I have a high level in my office.
mobile1669	Kind of like silent fireworks.
mobile1676	She has the game tomorrow.
mobile1680	What is the status of the Pemex discussions?
mobile1690	Remember blackberry doesn't work so well at home.
mobile1696	I think afraid of mass exodus.
mobile1706	Sorry for the unfriendly greeting in the lobby.
mobile1707	I need to talk to Tom Carlton, their decision-maker.
mobile1726	Let's leave it until we get going.
mobile1746	The other figure is the top 15 contracts.
mobile1767	Do you need to be there?
mobile1769	Hope you had a good weekend.
mobile1795	Can you bring these to 49C1?
mobile1796	I have no personal transactions with any Enron entity.
mobile1802	She is taking over Global Finance Legal.
mobile1808	Just sitting around.
mobile1824	I'm in 49C1.
mobile1858	It's raining here.
mobile1862	If so what was it?
mobile1881	If you need John speak up now.
mobile1894	We are somewhat emasculated bystanders.
mobile1899	This seems fine to me.
mobile1901	I will tell them.
mobile1930	I thought you needed him to carry two people.
mobile1945	I'll ask, he just came by.
mobile1978	Call me anytime for information.
mobile1990	I have received your messages and will respond accordingly.
mobile2006	I think you need to push Wasaff.
mobile2008	Was wondering if you and Natalie connected?
mobile2061	You are welcome in Palacios this weekend, of course.
mobile2066	FAX 212 253 9229
mobile2082	These are big storms and traffic isn't moving.
mobile2083	We had a VP PRC meeting Thursday.
mobile2086	I vote for the latter.
mobile2089	We don't want to look bad to Dyn.
mobile2095	Lynn, got to the office OK.
mobile2118	We just pulled schedules from the web.
mobile2148	They are specifically concerned about the current intercompany notes.
mobile2149	Nice weather for it.
mobile2188	Thanks for your help in quickly setting this up.
mobile2194	Just in case we haven't invited any of them.
mobile2199	Go ahead and notify.
mobile2212	How did they get onto our floor?
mobile2229	Is it far?
mobile2234	On Mahonia margining, I spoke with Mike Garberding.
